iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
SVK,Europe,Slovakia,2021-07-02,391676,17,26.571,12511,0,0.857,71740.222,3.114,4.867,2291.542,0,0.157,,,,,,,,,,,,,,,,,,,3649270,2037657,1611613,0,24648,66.84,37.32,29.52,4515,,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVN,Europe,Slovenia,2021-07-02,257383,25,24.714,4419,0,0.286,123805.396,12.025,11.888,2125.611,0,0.137,,,,,,,,,,,,,,,,,,,1525921,828830,697091,13589,9729,73.4,39.87,33.53,4680,,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917,
SLB,Oceania,Solomon Islands,2021-07-02,20,0,0,,,0,29.117,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686878,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567,
SOM,Africa,Somalia,2021-07-02,14946,0,10.143,775,0,0,940.401,0,0.638,48.763,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,
ZAF,Africa,South Africa,2021-07-02,2019826,24270,17703,61332,303,244.429,34056.156,409.215,298.489,1034.115,5.109,4.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,
KOR,Asia,South Korea,2021-07-02,159342,793,697.857,2025,1,1.857,3107.949,15.467,13.612,39.497,0.02,0.036,,,,,,,,,,21545,10510937,205.015,0.42,23797,0.464,,,people tested,19487624,15345293,5271767,119210,101792,38.01,29.93,10.28,1985,,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,
SSD,Africa,South Sudan,2021-07-02,10866,20,7.714,117,0,0.286,970.722,1.787,0.689,10.452,0,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,
ESP,Europe,Spain,2021-07-02,3833868,12563,7343.571,80911,28,18.857,81999.482,268.7,157.066,1730.54,0.599,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,
LKA,Asia,Sri Lanka,2021-07-02,262795,1823,1838.429,3157,37,42.143,12272.542,85.134,85.855,147.432,1.728,1.968,,,,,,,,,,18069,4089636,190.986,0.844,17142,0.801,,,tests performed,4036580,2889602,1146978,169957,90664,18.85,13.49,5.36,4234,,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782,
SDN,Africa,Sudan,2021-07-02,36658,0,12,2760,0,1.429,836,0,0.274,62.943,0,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,
SUR,South America,Suriname,2021-07-02,22063,127,164.571,539,8,6.429,37609.481,216.489,280.535,918.801,13.637,10.958,,,,,,,,,,,,,,,,,,,199471,162516,36955,1748,1738,34,27.7,6.3,2963,,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,
SWE,Europe,Sweden,2021-07-02,1090880,327,283.429,14631,1,1.714,108015.728,32.379,28.064,1448.719,0.099,0.17,,,,,,,,,,,,,,,,,,,8168667,4999452,3169215,,119890,80.88,49.5,31.38,11871,,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,
CHE,Europe,Switzerland,2021-07-02,703334,158,118.143,10894,0,1.714,81266.903,18.256,13.651,1258.75,0,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,
SYR,Asia,Syria,2021-07-02,25586,35,36.857,1882,3,2.857,1462.002,2,2.106,107.539,0.171,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,
TWN,Asia,Taiwan,2021-07-02,14911,58,63.714,676,15,9.429,626.071,2.435,2.675,28.383,0.63,0.396,,,,,,,,,,,,,,,,,,,2278338,2232145,46193,190751,53266,9.57,9.37,0.19,2236,,23816775,,42.2,,8.353,,,103.957,,,,,,80.46,,
TJK,Asia,Tajikistan,2021-07-02,13523,0,18.714,90,0,0,1417.856,0,1.962,9.436,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,
TZA,Africa,Tanzania,2021-07-02,509,0,0,21,0,0,8.521,0,0,0.352,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,
THA,Asia,Thailand,2021-07-02,270921,6087,4947.143,2141,61,46,3881.391,87.206,70.876,30.673,0.874,0.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,
TLS,Asia,Timor,2021-07-02,9361,83,64.143,24,0,0.571,7100.047,62.953,48.65,18.203,0,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,
TGO,Africa,Togo,2021-07-02,13999,37,30.143,130,0,0.286,1690.958,4.469,3.641,15.703,0,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,
TON,Oceania,Tonga,2021-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28667,,,,,27.12,,,35.19,105697,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,
TTO,North America,Trinidad and Tobago,2021-07-02,33153,124,196.857,866,9,10.714,23689.327,88.604,140.663,618.796,6.431,7.656,,,,,,,,,,,,,,,,,,,319591,216708,102883,7779,8819,22.84,15.48,7.35,6302,,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796,
TUN,Africa,Tunisia,2021-07-02,432761,5882,4847.429,15179,114,98.571,36616.887,497.689,410.152,1284.33,9.646,8.34,,,,,,,,,,16050,1718172,145.378,1.358,9932,0.84,,,people tested,,,,,,,,,,,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,
TUR,Asia,Turkey,2021-07-02,5435831,4891,5279,49829,55,50.857,64452.112,57.992,62.593,590.818,0.652,0.603,,,,,,,,,,,,,,,,,,,52104718,35673239,15522900,892530,781535,61.78,42.3,18.41,9267,,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,
TKM,Asia,Turkmenistan,2021-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41993,32240,9753,,,0.7,0.53,0.16,,62.04,6031187,12.253,26.9,4.277,2.541,16389.023,,536.783,7.11,,,100,7.4,68.19,0.715,
TCA,North America,Turks and Caicos Islands,2021-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38110,22700,15410,,92,98.43,58.63,39.8,2376,,38718,37.312,,,,,,,,,,,,80.22,,
TUV,Oceania,Tuvalu,2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4772,4772,,,169,40.47,40.47,,14332,,11792,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,
UGA,Africa,Uganda,2021-07-02,82082,1048,788.571,1111,50,40.143,1794.495,22.912,17.24,24.289,1.093,0.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,
UKR,Europe,Ukraine,2021-07-02,2302344,1123,924.429,54687,43,36.857,52644.549,25.678,21.138,1250.453,0.983,0.843,,,,,,,,,,19756,10881002,248.801,0.452,17407,0.398,,,tests performed,,,,,,,,,,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,
ARE,Asia,United Arab Emirates,2021-07-02,636245,1663,1959,1825,6,6.143,64329.552,168.143,198.071,184.522,0.607,0.621,,,,,,,,,,283661,58310341,5895.65,28.68,275975,27.903,,,tests performed,15428281,,,,69750,155.99,,,7052,,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
GBR,Europe,United Kingdom,2021-07-02,4871807,26863,22248.857,128453,27,17.571,71764.527,395.707,327.739,1892.187,0.398,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932,
USA,North America,United States,2021-07-02,33709131,29698,13562.143,605524,505,250.286,101839.461,89.721,40.973,1829.363,1.526,0.756,,,,,,,,,,,,,,,,,,,328809470,181650678,156255896,657166,1087156,98.32,54.31,46.72,3251,,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
URY,South America,Uruguay,2021-07-02,371417,817,1119.571,5642,23,27.857,106921.759,235.194,322.297,1624.192,6.621,8.019,,,,,,,,,,,,,,,,,,,4041916,2293845,1748071,51231,39947,116.36,66.03,50.32,11500,,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817,
UZB,Asia,Uzbekistan,2021-07-02,111648,495,494.857,742,2,2.429,3335.843,14.79,14.785,22.17,0.06,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72,
VUT,Oceania,Vanuatu,2021-07-02,4,0,0,1,0,0,13.023,0,0,3.256,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,
VAT,Europe,Vatican,2021-07-02,27,0,0,,,0,33374.536,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,,,,,,,,,,,,,75.12,,
VEN,South America,Venezuela,2021-07-02,275205,1181,1179,3154,18,16.571,9678.068,41.532,41.462,110.916,0.633,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,
VNM,Asia,Vietnam,2021-07-02,18121,394,512,84,3,1.429,186.165,4.048,5.26,0.863,0.031,0.015,,,,,,,,,,,,,,,,,,,3842646,3628241,214405,28879,107867,3.95,3.73,0.22,1108,,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704,
WLF,Oceania,Wallis and Futuna,2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8933,4565,4368,,12,79.43,40.59,38.84,1067,,11246,,,,,,,,,,,,,79.94,,
YEM,Asia,Yemen,2021-07-02,6924,1,2.714,1361,0,0.571,232.147,0.034,0.091,45.631,0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,
ZMB,Africa,Zambia,2021-07-02,160613,2781,2485.429,2341,70,60.857,8736.585,151.273,135.196,127.339,3.808,3.31,,,,,,,,,,,,,,,,,,,158786,142125,16661,2202,1298,0.86,0.77,0.09,71,,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584,
ZWE,Africa,Zimbabwe,2021-07-02,52663,1442,1063.714,1841,33,17.143,3543.246,97.02,71.568,123.865,2.22,1.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,
